n_cores;seq_time;ff_time
1;15935465702.00;16043834856.00
2;15935465702.00;8195949788.00
3;15935465702.00;7971270144.00
4;15935465702.00;6025163696.00
5;15935465702.00;4862211845.00
6;15935465702.00;4007160016.00
7;15935465702.00;3424694456.00
8;15935465702.00;3089277800.00
9;15935465702.00;2730681764.00
10;15935465702.00;2416400216.00
11;15935465702.00;2297706507.00
12;15935465702.00;2184583649.00
13;15935465702.00;1888716888.00
14;15935465702.00;1956679897.00
15;15935465702.00;1649128587.00
16;15935465702.00;1586805441.00
17;15935465702.00;1532217521.00
18;15935465702.00;1469460340.00
19;15935465702.00;1610067533.00
20;15935465702.00;1378321761.00
21;15935465702.00;1342952498.00
22;15935465702.00;1293070159.00
23;15935465702.00;1224421399.00
24;15935465702.00;1257923515.00
25;15935465702.00;1301409940.00
26;15935465702.00;1463156447.00
27;15935465702.00;1146007753.00
28;15935465702.00;1012173210.00
29;15935465702.00;1036008143.00
30;15935465702.00;1037281747.00
31;15935465702.00;1212104914.00
32;15935465702.00;1065465834.00
33;15935465702.00;1325966644.00
34;15935465702.00;1276613147.00
35;15935465702.00;1497911981.00
36;15935465702.00;1395602493.00
37;15935465702.00;1351068386.00
38;15935465702.00;1334308730.00
39;15935465702.00;1331148975.00
40;15935465702.00;1284403988.00
41;15935465702.00;1339557760.00
42;15935465702.00;1221027056.00
43;15935465702.00;1288932961.00
44;15935465702.00;1220933651.00
45;15935465702.00;1244027324.00
46;15935465702.00;1231803135.00
47;15935465702.00;1200309384.00
48;15935465702.00;1272656450.00
49;15935465702.00;1137184671.00
50;15935465702.00;1073990251.00
51;15935465702.00;1215721739.00
52;15935465702.00;1114991176.00
53;15935465702.00;1188810661.00
54;15935465702.00;1145519053.00
55;15935465702.00;1076854888.00
56;15935465702.00;1174945041.00
57;15935465702.00;1068146685.00
58;15935465702.00;1031434610.00
59;15935465702.00;1192068633.00
60;15935465702.00;1041040991.00
61;15935465702.00;1220236319.00
62;15935465702.00;1055293149.00
63;15935465702.00;1051658556.00
64;15935465702.00;1049742101.00
65;15935465702.00;1300742251.00
66;15935465702.00;1242184905.00
67;15935465702.00;1271633994.00
68;15935465702.00;1143666521.00
69;15935465702.00;1257952387.00
70;15935465702.00;1147354122.00
71;15935465702.00;1218112161.00
72;15935465702.00;1172337250.00
73;15935465702.00;1167716577.00
74;15935465702.00;1204162933.00
75;15935465702.00;1288056637.00
76;15935465702.00;1359866260.00
77;15935465702.00;1263052812.00
78;15935465702.00;1228837839.00
79;15935465702.00;1216983880.00
80;15935465702.00;1253423435.00
81;15935465702.00;1227048698.00
82;15935465702.00;1210261538.00
83;15935465702.00;1137451136.00
84;15935465702.00;1165954448.00
85;15935465702.00;1115042520.00
86;15935465702.00;1109412065.00
87;15935465702.00;1142351637.00
88;15935465702.00;1165570421.00
89;15935465702.00;1166590405.00
90;15935465702.00;1106420727.00
91;15935465702.00;1153820171.00
92;15935465702.00;1200143130.00
93;15935465702.00;1157636684.00
94;15935465702.00;1086210192.00
95;15935465702.00;1030152746.00
96;15935465702.00;1081414305.00
97;15935465702.00;1107231799.00
98;15935465702.00;1164834272.00
99;15935465702.00;1191484335.00
100;15935465702.00;1079617963.00
101;15935465702.00;1089631976.00
102;15935465702.00;1096646246.00
103;15935465702.00;1126144240.00
104;15935465702.00;1104740405.00
105;15935465702.00;1121260446.00
106;15935465702.00;1071968549.00
107;15935465702.00;1124472708.00
108;15935465702.00;1074900588.00
109;15935465702.00;1098991043.00
110;15935465702.00;1162616105.00
111;15935465702.00;1053888087.00
112;15935465702.00;1115391677.00
113;15935465702.00;1044609135.00
114;15935465702.00;1063599277.00
115;15935465702.00;1083798816.00
116;15935465702.00;1041696002.00
117;15935465702.00;1042656781.00
118;15935465702.00;1055569929.00
119;15935465702.00;1014798223.00
120;15935465702.00;1106142534.00
121;15935465702.00;1087403515.00
122;15935465702.00;1025732612.00
123;15935465702.00;1031250260.00
124;15935465702.00;1102721760.00
125;15935465702.00;1031406275.00
126;15935465702.00;1129857062.00
127;15935465702.00;1007655250.00
128;15935465702.00;1007764758.00