n;seq_time;threads_time;ff_time;omp_time
10;9920.80000000000000000000;7806774.00000000000000000000;3811869.80000000000000000000;84833972.60000000000000000000
20;11560.80000000000000000000;7383461.60000000000000000000;3955820.80000000000000000000;90613313.80000000000000000000
50;50063.40000000000000000000;8393658.80000000000000000000;5810101.80000000000000000000;95293311.80000000000000000000
100;179133.60000000000000000000;10724876.40000000000000000000;7307716.80000000000000000000;102446998.40000000000000000000
200;707834.00000000000000000000;8208565.00000000000000000000;7029395.20000000000000000000;102810408.40000000000000000000
500;4686877.20000000000000000000;14377115.20000000000000000000;7547215.00000000000000000000;105910867.20000000000000000000
1000;29105517.80000000000000000000;12479271.00000000000000000000;12428546.80000000000000000000;110979956.80000000000000000000
2000;127736399.00000000000000000000;39385623.00000000000000000000;33157187.80000000000000000000;114188686.40000000000000000000
5000;765990563.00000000000000000000;133969274.00000000000000000000;152387861.20000000000000000000;185783333.60000000000000000000
10000;3060906369.60000000000000000000;363380540.40000000000000000000;341199777.00000000000000000000;367471960.80000000000000000000
20000;12237537974.60000000000000000000;1333591268.20000000000000000000;1181206984.40000000000000000000;1193407674.00000000000000000000